N,P,K,PointID,OC,pH,Clay,Silt,Sand
3.7,41.4,46.8,55662746,103.0,4.01,5.0,31.0,64.0
2.0,6.5,78.2,54602582,17.6,5.86,13.0,50.0,37.0
5.9,7.6,130.1,54742798,69.3,4.83,12.0,58.0,31.0
5.6,21.9,81.6,55082606,74.1,5.08,17.0,51.0,32.0
8.2,25.8,117.0,55142712,137.9,3.88,12.0,59.0,29.0
13.6,108.4,191.8,54702820,283.4,3.66,8.0,49.0,43.0
2.3,6.4,53.4,55782654,21.7,4.65,26.0,54.0,20.0
1.7,4.7,62.8,53402530,16.8,4.57,25.0,48.0,27.0
4.7,14.6,97.1,52982672,51.4,4.43,20.0,61.0,19.0
4.9,38.2,94.1,53082690,68.3,3.6,13.0,59.0,28.0
2.8,15.5,192.9,55642672,23.7,5.24,34.0,58.0,8.0
3.2,5.6,76.6,55442614,30.9,4.72,38.0,58.0,4.0
3.6,12.2,185.0,53142710,51.1,3.95,23.0,54.0,23.0
1.9,13.0,55.1,54822580,20.1,4.81,10.0,40.0,50.0
2.7,6.7,57.2,54382834,34.3,4.22,13.0,53.0,34.0
4.7,8.3,370.6,54782780,61.5,4.83,22.0,63.0,16.0
5.6,48.0,562.9,55042756,63.2,4.85,12.0,49.0,39.0
3.0,8.1,81.4,52802662,26.4,4.66,23.0,66.0,12.0
5.1,11.4,114.1,54482848,63.8,4.58,22.0,62.0,15.0
3.2,13.1,56.4,54662818,46.7,3.85,13.0,57.0,30.0
10.7,38.1,218.4,55062726,165.4,4.08,12.0,53.0,35.0
3.5,9.9,101.8,53162712,38.5,4.27,13.0,58.0,29.0
4.2,16.0,58.1,55742656,62.2,3.66,16.0,57.0,27.0
2.0,15.0,31.1,53702604,29.8,4.06,15.0,49.0,37.0
4.5,32.4,78.1,53362710,47.5,4.37,12.0,47.0,41.0
1.8,22.3,135.3,54062618,15.5,5.1,31.0,52.0,17.0
4.0,7.7,205.1,55262704,53.1,4.61,24.0,57.0,20.0
5.8,65.6,145.4,53022688,116.7,3.92,8.0,37.0,55.0
2.9,16.0,260.6,54562816,34.9,4.31,20.0,58.0,23.0
4.9,25.3,90.1,54782806,81.5,4.06,13.0,50.0,37.0
3.2,4.2,85.3,55802656,34.2,5.03,28.0,61.0,11.0
3.7,17.1,108.7,52982712,52.5,4.35,10.0,38.0,51.0
5.9,22.0,66.0,28522106,78.6,4.41,11.0,45.0,44.0
3.6,9.4,39.7,28822078,44.4,4.73,15.0,62.0,23.0
